时间,商品名称,库存变化,单笔销量
2026-05-15 13:07:13,beatroad,-9407,0
2026-05-15 13:59:31,beatroad,-9407 -> -9427,20
2026-05-15 14:36:41,beatroad,-9427 -> -9442,15
2026-05-15 15:15:13,beatroad,-9442 -> -9443,1
2026-05-15 16:30:15,beatroad,-9443 -> -9472,29
2026-05-15 16:46:11,beatroad,-9472 -> -9505,33
2026-05-15 17:10:11,beatroad,-9505 -> -9506,1
2026-05-16 10:01:21,beatroad,-9506 -> -9507,1
2026-05-16 12:05:09,beatroad,-9507 -> -9510,3
2026-05-16 20:30:10,beatroad,-9510 -> -9524,14
2026-05-16 21:30:07,beatroad,-9524 -> -9525,1
2026-05-16 23:07:01,beatroad,-9525 -> -9530,5
2026-05-16 23:12:10,beatroad,-9530 -> -9535,5
2026-05-17 00:10:13,beatroad,-9535 -> -9548,13
2026-05-17 07:00:13,beatroad,-9548 -> -9570,22
2026-05-17 10:29:22,beatroad,-9570 -> -9601,31
